"";"levelName";"pathString";"word"
"73";" ¦   ¦--4f3d578c-00b3-4f6a-a5f5-66cd57a6c3da        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/4f3d578c-00b3-4f6a-a5f5-66cd57a6c3da";"1st"
"74";" ¦   ¦--77af3015-4dfc-4f1f-af33-ea33011c33e9        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/77af3015-4dfc-4f1f-af33-ea33011c33e9";"studio"
"75";" ¦   ¦--a9bf5864-9e86-427c-96cb-465dbb66db0b        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/a9bf5864-9e86-427c-96cb-465dbb66db0b";"second"
"76";" ¦   ¦--c0110a85-7263-4787-8dde-d0625e908861        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/c0110a85-7263-4787-8dde-d0625e908861";"internet"
"77";" ¦   ¦--25e7ef6a-5cb9-46b0-ac1a-5cb1307bc0ce        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/25e7ef6a-5cb9-46b0-ac1a-5cb1307bc0ce";"car"
"78";" ¦   ¦--b9793920-dd21-4d37-b8a8-32c730af946c        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/b9793920-dd21-4d37-b8a8-32c730af946c";"person"
"79";" ¦   ¦--6d5d868a-b7d4-412f-9c68-c7d887c00412        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/6d5d868a-b7d4-412f-9c68-c7d887c00412";"beach"
"80";" ¦   ¦--337464b4-5055-43ab-bcb3-890d59a25c8c        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/337464b4-5055-43ab-bcb3-890d59a25c8c";"kids"
"81";" ¦   ¦--2f4d90b7-8444-4160-833e-1be2909b0da9        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/2f4d90b7-8444-4160-833e-1be2909b0da9";"door"
"82";" ¦   ¦--70c857fa-d7f4-4de8-8a34-dde7cade8f2a        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/70c857fa-d7f4-4de8-8a34-dde7cade8f2a";"radio"
"83";" ¦   ¦--4cce5b8d-b36c-4469-8979-07e7d7b7e030        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/4cce5b8d-b36c-4469-8979-07e7d7b7e030";"street"
"84";" ¦   ¦--81cbca29-288a-4d3b-8fd8-b15d6ff72481        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/81cbca29-288a-4d3b-8fd8-b15d6ff72481";"name"
"85";" ¦   ¦--3ce84748-d266-4968-9ebf-1b7a4ea0f78e        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/3ce84748-d266-4968-9ebf-1b7a4ea0f78e";"support"
"86";" ¦   ¦--f590610a-d8fd-4b6a-a538-3fd038d9fdcb        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/f590610a-d8fd-4b6a-a538-3fd038d9fdcb";"summer"
"87";" ¦   ¦--2a3b9708-0acf-4e81-98a3-d7fe5a967312        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/2a3b9708-0acf-4e81-98a3-d7fe5a967312";"bus"
